Nombre;Temporada;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion
MALLABIABARRENA UGALDE, ITZIAR;2007;HONDARRIBIA - IRÚN;15.0;7.41;2.27;0.6;1.4;0.43;0.0;0.0;0.0;1.07;1.47;0.73;0.87;0.8;1.67;0.4;0.33;0.93;0.0;0.07;0.0;1.07;1.07;2.47
MOLINUEVO GARCIA, CRISTINA;2018;RPK ARASKI;24.0;7.41;1.21;0.17;0.42;0.4;0.25;0.88;0.29;0.12;0.25;0.5;0.21;0.58;0.79;0.29;0.17;0.42;0.08;0.0;0.0;0.12;0.29;1.29
SKLEPOWICZ, ZUZANNA IDA;2018;CADI LA SEU;24.0;7.41;0.58;0.17;0.5;0.33;0.08;0.38;0.22;0.0;0.0;0.0;0.0;0.33;0.33;0.54;0.25;0.88;0.0;0.04;0.0;1.12;0.25;-0.71
BLANCO MORCILLO, MARIA DEL CARMEN;2024;OSES CONSTRUCCION;7.0;7.41;1.43;0.29;0.57;0.5;0.29;0.29;1.0;0.0;0.0;0.0;0.14;0.43;0.57;0.43;0.14;0.29;0.0;0.0;0.0;0.86;0.57;1.71
TEWEHAMYE MONTAANA, MIREMBE;2022;VALENCIA B.C.;1.0;7.4;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ALVAREZ LOPEZ, RAQUEL;2002;YAYA MARIA BREOGAN;18.0;7.39;1.06;0.0;0.11;0.0;0.33;0.94;0.35;0.06;0.11;0.5;0.06;0.5;0.56;0.11;0.06;0.39;0.0;0.0;0.0;0.39;0.06;0.28
VILLAR FERNANDEZ, IRIA;2007;EXTRUGASA;4.0;7.38;1.5;0.75;1.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1.0;1.25;0.5;0.25;0.0;0.25;0.0;0.0;1.25;0.25;2.0
MASTRAL LEJARRAGA, ALEJANDRA;2020;CASADEMONT ZARAGOZA;4.0;7.38;2.0;0.25;1.25;0.2;0.5;0.75;0.67;0.0;0.0;0.0;0.0;0.25;0.25;0.0;0.0;0.75;0.0;0.0;0.0;0.25;0.0;0.0
SEGUES ECEIZA, AMAIA;2014;IDK GIPUZKOA UPV;11.0;7.37;0.73;0.36;0.91;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.64;1.0;1.64;0.0;0.09;0.18;0.0;0.0;0.0;0.64;0.0;1.09
MONTAANA GIMENO, ANNA;2014;PERFUMERIAS AVENIDA;21.0;7.36;0.9;0.19;0.71;0.27;0.14;0.81;0.18;0.1;0.1;1.0;0.14;0.76;0.9;0.86;0.38;0.38;0.0;0.0;0.0;0.43;0.14;1.19
LOPEZ TOBI, IHO;2014;SPAR CITYLIFT GIRONA;16.0;7.35;0.88;0.12;0.5;0.25;0.0;0.0;0.0;0.62;0.75;0.83;0.5;1.44;1.94;0.06;0.31;0.69;0.31;0.06;0.0;0.69;0.56;2.12
PRIETO MARTINEZ, ALBA;2015;C.B. CONQUERO HUELVA WAGEN;15.0;7.34;1.33;0.13;0.53;0.25;0.33;0.93;0.36;0.07;0.07;1.0;0.2;0.4;0.6;0.33;0.27;0.4;0.0;0.07;0.0;0.67;0.27;0.67
CONDE DURAN, ITSASO;2021;MOVISTAR ESTUDIANTES;18.0;7.32;1.17;0.39;1.28;0.3;0.0;0.06;0.0;0.39;0.72;0.54;0.44;0.67;1.11;0.28;0.22;0.56;0.0;0.22;0.0;0.56;1.0;1.39
---, THANIA;2001;CAJA RURAL DE CANARIAS;13.0;7.31;1.08;0.15;0.23;0.67;0.23;1.08;0.21;0.08;0.31;0.25;0.0;0.38;0.38;0.31;0.38;0.15;0.0;0.0;0.0;0.38;0.46;0.92
VILARRUBLA SEIRA, EVA;2006;EBE PROMOCIONES-PDV STA.EULALIA;18.0;7.29;1.06;0.22;0.61;0.36;0.11;0.5;0.22;0.28;0.5;0.56;0.5;0.83;1.33;0.11;0.28;0.33;0.06;0.0;0.0;1.06;0.5;0.94
SVITLICA, DRAGANA;2008;REAL CLUB CELTA INDEPO;20.0;7.29;1.25;0.55;1.45;0.38;0.05;0.05;1.0;0.0;0.15;0.0;0.35;0.65;1.0;0.1;0.2;0.55;0.1;0.0;0.0;1.75;0.4;-0.3
MOLINUEVO GARCIA, CRISTINA;2019;RPK ARASKI;20.0;7.29;1.3;0.05;0.3;0.17;0.4;1.65;0.24;0.0;0.0;0.0;0.15;0.75;0.9;0.35;0.15;0.65;0.0;0.0;0.0;0.4;0.1;0.25
SOLTAU, ANNIKA PATRICIA;2024;LOINTEK GERNIKA BIZKAIA;4.0;7.28;3.0;1.5;2.75;0.55;0.0;0.0;0.0;0.0;0.0;0.0;0.25;1.75;2.0;0.5;0.25;0.75;0.5;0.25;0.0;0.5;0.0;3.75
GONZALEZ PROPIN, MARIANA;2009;ASEFA ESTUDIANTES;10.0;7.27;1.6;0.8;1.9;0.42;0.0;0.0;0.0;0.0;0.0;0.0;0.1;1.3;1.4;0.0;0.2;0.5;0.0;0.1;0.0;1.1;0.3;0.7
TODOROVA, VESELKA IVANOVA;2007;HONDARRIBIA - IRÚN;3.0;7.24;1.0;0.33;0.67;0.5;0.0;0.0;0.0;0.33;0.67;0.5;1.33;0.33;1.67;0.0;0.0;0.33;0.0;0.0;0.0;1.33;0.33;0.67
GARCIA RIERA, BLANCA;2011;CADI LA SEU D´URGELL;21.0;7.24;1.0;0.14;0.9;0.16;0.14;0.43;0.33;0.29;0.57;0.5;0.38;0.67;1.05;0.33;0.19;0.43;0.0;0.1;0.0;0.38;0.67;1.0
GARCIA URLEZAGA, IZASKUN;2013;BIZKAIA GDKO;5.0;7.23;0.6;0.0;0.8;0.0;0.2;0.2;1.0;0.0;0.0;0.0;0.0;0.6;0.6;0.4;0.2;1.4;0.0;0.0;0.0;0.4;0.0;-0.8
PUJOL LLUCH, ARIADNA;2017;CADI LA SEU;2.0;7.22;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.5;-1.0
MONTESDEOCA LOPEZ, EVA;2010;GRAN CANARIA 2014 LA CAJA DE CANARIAS;22.0;7.21;0.91;0.41;0.95;0.43;0.0;0.0;0.0;0.09;0.36;0.25;0.95;1.09;2.05;0.18;0.23;0.55;0.05;0.0;0.0;1.32;0.41;1.14
